v1 sentences per paragraph,v2 words per paragraph,v3 close parenthesis present,v4 dash present,v5 semi-colon or colon present,v6 question mark present,v7 apostrophe present,v8 standard deviation of sentence length,v9 length difference for consecutive sentences,v10 sentence with < 11 words,v11 sentence with > 34 words,v12 contains although,v13 contains however,v14 contains but,v15 contains because,v16 contains this,v17 contains others or researchers,v18 contains numbers,v19 contains 2 times more capitals than period,v20 contains et,word variation,average token length,non alphabetic characters frequency,uncommon word frequency,$,'',(,),",",.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,JJ_pp,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``
6.0,85.0,0.0,1.0,1.0,1.0,0.0,11.40784330576507,6.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6470588235294118,3.152941176470588,0.27058823529411763,0.611764705882353,0.0,0.0,0.0,0.0,0.058823529411764705,0.03529411764705882,0.011764705882352941,0.011764705882352941,0.0,0.10588235294117647,0.0,0.0,0.09411764705882353,0.03529411764705882,0.0,0.011764705882352941,0.0,0.03529411764705882,0.08235294117647059,0.12941176470588237,0.0,0.011764705882352941,0.0,0.0,0.08235294117647059,0.0,0.09411764705882353,0.0,0.0,0.0,0.0,0.011764705882352941,0.0,0.023529411764705882,0.09411764705882353,0.0,0.011764705882352941,0.011764705882352941,0.03529411764705882,0.0,0.011764705882352941,0.0,0.0,0.0
3.0,52.0,0.0,0.0,0.0,0.0,0.0,4.642796092394707,9.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,3.8653846153846154,0.19230769230769232,0.5,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.0,0.11538461538461539,0.0,0.0,0.11538461538461539,0.1346153846153846,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.019230769230769232,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.057692307692307696,0.057692307692307696,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.057692307692307696,0.019230769230769232,0.0,0.019230769230769232,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
4.0,79.0,0.0,1.0,1.0,0.0,1.0,7.660776723022281,8.333333333333334,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7721518987341772,3.759493670886076,0.20253164556962025,0.620253164556962,0.0,0.02531645569620253,0.0,0.0,0.0,0.0379746835443038,0.0379746835443038,0.02531645569620253,0.012658227848101266,0.08860759493670886,0.0,0.0,0.0759493670886076,0.10126582278481013,0.0,0.0,0.0,0.0,0.1518987341772152,0.02531645569620253,0.0,0.0379746835443038,0.0,0.0,0.08860759493670886,0.02531645569620253,0.05063291139240506,0.012658227848101266,0.0,0.0,0.0,0.05063291139240506,0.0,0.02531645569620253,0.02531645569620253,0.0,0.012658227848101266,0.0379746835443038,0.0379746835443038,0.0,0.0,0.0,0.012658227848101266,0.0
4.0,33.0,0.0,0.0,0.0,1.0,1.0,3.5619517121937516,4.333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8484848484848485,2.757575757575758,0.30303030303030304,0.6060606060606061,0.0,0.030303030303030304,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0,0.06060606060606061,0.24242424242424243,0.06060606060606061,0.0,0.0,0.0,0.030303030303030304,0.12121212121212122,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,0.0
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.777777777777778,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,135.0,0.0,0.0,1.0,0.0,0.0,9.069178573608527,9.2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6074074074074074,4.125925925925926,0.11851851851851852,0.5925925925925926,0.0,0.0,0.0,0.0,0.007407407407407408,0.037037037037037035,0.02962962962962963,0.022222222222222223,0.0,0.08148148148148149,0.0,0.0,0.1111111111111111,0.0962962962962963,0.0,0.0,0.0,0.014814814814814815,0.08888888888888889,0.08148148148148149,0.0,0.02962962962962963,0.0,0.0,0.0962962962962963,0.007407407407407408,0.06666666666666667,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.02962962962962963,0.022222222222222223,0.007407407407407408,0.014814814814814815,0.022222222222222223,0.08888888888888889,0.0,0.0,0.0,0.037037037037037035,0.0
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8947368421052632,3.1578947368421053,0.3684210526315789,0.6842105263157895,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,0.10526315789473684,0.0,0.05263157894736842,0.0,0.0,0.0,0.0
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.285714285714286,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,3.7222222222222223,0.25,0.7222222222222222,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.25,0.027777777777777776,0.0,0.027777777777777776,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0
3.0,85.0,0.0,1.0,0.0,0.0,1.0,11.897712198383164,15.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7411764705882353,3.5294117647058822,0.21176470588235294,0.5529411764705883,0.0,0.03529411764705882,0.0,0.0,0.047058823529411764,0.023529411764705882,0.011764705882352941,0.047058823529411764,0.0,0.047058823529411764,0.0,0.0,0.09411764705882353,0.07058823529411765,0.0,0.0,0.0,0.0,0.17647058823529413,0.023529411764705882,0.0,0.0,0.0,0.0,0.11764705882352941,0.047058823529411764,0.09411764705882353,0.0,0.0,0.0,0.0,0.011764705882352941,0.0,0.023529411764705882,0.08235294117647059,0.011764705882352941,0.023529411764705882,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0
