JJ,JJR,JJS,JJ_exp,JJ_lim,JJ_pp,JJ_presp
0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0
0.0595238095238095,0.0119047619047619,0.0,0.0,0.0,0.0,0.0
0.0683760683760683,0.0,0.0,0.0,0.0,0.0,0.0
0.015625,0.0,0.0,0.0,0.0,0.0,0.0
0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0
0.0434782608695652,0.0144927536231884,0.0,0.0,0.0,0.0144927536231884,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0
0.0652173913043478,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0377358490566037,0.0,0.0,0.0,0.0,0.0
0.1481481481481481,0.0,0.0,0.0,0.0,0.0,0.0
0.0948275862068965,0.0,0.0,0.0,0.0,0.0,0.0
0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
0.0684931506849315,0.0,0.0136986301369863,0.0,0.0,0.0,0.0
0.1173708920187793,0.0,0.0,0.0,0.0,0.0046948356807511,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0765550239234449,0.0,0.0,0.0,0.0095693779904306,0.0,0.0
0.0714285714285714,0.0,0.0238095238095238,0.0,0.0,0.0,0.0
0.0655737704918032,0.0,0.0,0.0,0.0,0.0,0.0
0.0689655172413793,0.0,0.0,0.0,0.0,0.0,0.0
0.0607734806629834,0.0027624309392265,0.0,0.0,0.0,0.0,0.0
0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0625,0.0,0.0,0.0,0.0,0.0,0.0
0.0841750841750841,0.0033670033670033,0.0033670033670033,0.0,0.0,0.0,0.0
0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
0.0674157303370786,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
