v1 sentences per paragraph,v2 words per paragraph,v3 close parenthesis present,v4 dash present,v5 semi-colon or colon present,v6 question mark present,v7 apostrophe present,v8 standard deviation of sentence length,v9 length difference for consecutive sentences,v10 sentence with < 11 words,v11 sentence with > 34 words,v12 contains 'although',v13 contains 'however',v14 contains 'but',v15 contains 'because',v16 contains 'this',v17 contains 'others' or 'researchers',v18 contains numbers,v19 contains 2 times more capitals than period,v20 contains 'et',word variation,average word length,non alphabetic characters frequency,uncommon word frequency,non-alphabetic characters frequency,numeric value frequency,'',(,),",",.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,JJ_exp,JJ_lim,JJ_pp,JJ_presp,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
7,146,False,True,True,False,True,7.317856271351827,10.833333333333334,False,False,False,False,True,False,True,False,False,False,False,0.6986301369863014,3.9383561643835616,0.10273972602739725,0.5684931506849316,0.10273972602739725,0.0,0.0,0.0,0.0,0.02054794520547945,0.0410958904109589,0.03424657534246575,0.04794520547945205,0.00684931506849315,0.0821917808219178,0.00684931506849315,0.0,0.11643835616438356,0.07534246575342465,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.1643835616438356,0.0,0.0,0.00684931506849315,0.0,0.00684931506849315,0.08904109589041095,0.02054794520547945,0.0684931506849315,0.0,0.0,0.00684931506849315,0.0,0.0136986301369863,0.0,0.0273972602739726,0.0821917808219178,0.0136986301369863,0.0273972602739726,0.0,0.0,0.0,0.00684931506849315,0.0,0.0
2,53,False,False,True,False,False,0.5,1.0,False,False,False,False,False,False,False,False,False,False,False,0.7924528301886793,3.490566037735849,0.1320754716981132,0.5849056603773585,0.1320754716981132,0.0,0.0,0.0,0.0,0.07547169811320754,0.03773584905660377,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.09433962264150944,0.0,0.0,0.11320754716981132,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509433962264151,0.03773584905660377,0.0,0.03773584905660377,0.0,0.0,0.05660377358490566,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.018867924528301886,0.09433962264150944,0.0,0.018867924528301886,0.0,0.0,0.0,0.018867924528301886,0.0,0.0
2,60,False,False,False,False,False,13.0,26.0,False,True,False,False,True,False,True,False,False,False,False,0.7833333333333333,3.85,0.1,0.55,0.1,0.0,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.08333333333333333,0.0,0.1,0.0,0.0,0.1,0.03333333333333333,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.016666666666666666,0.16666666666666666,0.016666666666666666,0.0,0.03333333333333333,0.0,0.0,0.05,0.03333333333333333,0.03333333333333333,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.03333333333333333,0.08333333333333333,0.05,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0
3,30,False,True,False,False,False,4.08248290463863,7.5,True,False,False,False,False,False,False,False,False,True,False,0.7666666666666667,3.1666666666666665,0.4,0.6666666666666666,0.4,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.1,0.13333333333333333,0.0,0.03333333333333333,0.0,0.0,0.16666666666666666,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.1,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,22,False,False,False,True,False,6.847546194724712,8.0,True,False,False,False,False,False,False,False,False,True,False,0.9090909090909091,2.6818181818181817,0.4090909090909091,0.6818181818181818,0.4090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.045454545454545456,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0
10,246,False,True,True,True,False,15.304901175767194,16.11111111111111,True,True,False,False,True,False,True,False,False,True,False,0.5447154471544715,3.707317073170732,0.12601626016260162,0.5853658536585366,0.12601626016260162,0.0,0.0,0.0,0.0,0.06910569105691057,0.04065040650406504,0.016260162601626018,0.06097560975609756,0.0,0.07317073170731707,0.0040650406504065045,0.0,0.11382113821138211,0.08943089430894309,0.0,0.0040650406504065045,0.0,0.0040650406504065045,0.0,0.0,0.008130081300813009,0.08943089430894309,0.02032520325203252,0.0,0.08536585365853659,0.0,0.0,0.07723577235772358,0.036585365853658534,0.056910569105691054,0.0,0.0,0.0040650406504065045,0.0,0.008130081300813009,0.0,0.016260162601626018,0.08536585365853659,0.016260162601626018,0.0040650406504065045,0.0,0.0,0.0040650406504065045,0.0040650406504065045,0.0,0.008130081300813009
3,55,False,True,False,False,False,13.27487183449325,26.5,True,True,False,False,False,False,False,False,False,False,False,0.6,3.2545454545454544,0.18181818181818182,0.5818181818181818,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.03636363636363636,0.0,0.07272727272727272,0.03636363636363636,0.09090909090909091,0.0,0.0,0.09090909090909091,0.10909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14545454545454545,0.0,0.0,0.01818181818181818,0.0,0.0,0.07272727272727272,0.05454545454545454,0.03636363636363636,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.12727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22,False,False,False,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.9090909090909091,3.590909090909091,0.13636363636363635,0.5454545454545454,0.13636363636363635,0.0,0.0,0.0,0.0,0.09090909090909091,0.045454545454545456,0.0,0.045454545454545456,0.0,0.13636363636363635,0.0,0.0,0.18181818181818182,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,21,False,False,False,True,False,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,0.7619047619047619,2.5238095238095237,0.3333333333333333,0.5238095238095238,0.3333333333333333,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.09523809523809523
2,34,False,False,False,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.9117647058823529,3.176470588235294,0.2647058823529412,0.6470588235294118,0.2647058823529412,0.0,0.0,0.0,0.0,0.058823529411764705,0.029411764705882353,0.0,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.0,0.0,0.14705882352941177,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.029411764705882353,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.08823529411764706,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0
4,94,False,True,False,False,True,10.523782589924593,12.666666666666666,True,False,False,False,True,False,False,False,False,True,False,0.7553191489361702,4.159574468085107,0.0851063829787234,0.5957446808510638,0.0851063829787234,0.0,0.0,0.0,0.0,0.010638297872340425,0.0425531914893617,0.02127659574468085,0.05319148936170213,0.010638297872340425,0.10638297872340426,0.0,0.0,0.1276595744680851,0.09574468085106383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14893617021276595,0.0425531914893617,0.0,0.031914893617021274,0.0,0.010638297872340425,0.0425531914893617,0.010638297872340425,0.09574468085106383,0.0,0.0,0.0,0.010638297872340425,0.010638297872340425,0.0,0.010638297872340425,0.07446808510638298,0.02127659574468085,0.010638297872340425,0.0,0.0,0.010638297872340425,0.0,0.0,0.0
7,167,False,False,True,True,True,13.65313748796613,16.666666666666668,True,True,False,False,True,False,True,False,False,False,False,0.6047904191616766,3.502994011976048,0.16167664670658682,0.5269461077844312,0.16167664670658682,0.0,0.005988023952095809,0.0,0.0,0.0718562874251497,0.03592814371257485,0.029940119760479042,0.03592814371257485,0.005988023952095809,0.10179640718562874,0.0,0.0,0.12574850299401197,0.059880239520958084,0.0,0.0,0.0,0.0,0.0,0.0,0.011976047904191617,0.1317365269461078,0.023952095808383235,0.0,0.04790419161676647,0.0,0.0,0.0718562874251497,0.017964071856287425,0.04790419161676647,0.0,0.0,0.0,0.0,0.017964071856287425,0.0,0.05389221556886228,0.029940119760479042,0.005988023952095809,0.005988023952095809,0.029940119760479042,0.005988023952095809,0.011976047904191617,0.011976047904191617,0.0,0.0
1,40,False,False,True,False,False,0.0,0.0,False,True,False,False,True,False,False,False,False,False,False,0.775,3.675,0.125,0.475,0.125,0.0,0.0,0.0,0.0,0.05,0.025,0.05,0.075,0.0,0.025,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.025,0.0,0.0,0.0,0.0,0.05,0.025,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.1,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,19,False,False,False,True,False,4.0276819911981905,4.5,True,False,False,False,False,False,False,False,False,False,False,0.8947368421052632,2.473684210526316,0.47368421052631576,0.8421052631578947,0.47368421052631576,0.0,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.21052631578947367,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
2,66,False,True,False,False,False,1.0,2.0,False,False,False,False,True,False,False,False,False,False,False,0.803030303030303,3.5757575757575757,0.15151515151515152,0.6363636363636364,0.15151515151515152,0.0,0.0,0.0,0.0,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.015151515151515152,0.07575757575757576,0.0,0.0,0.10606060606060606,0.07575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19696969696969696,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.015151515151515152,0.10606060606060606,0.015151515151515152,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0
1,38,False,False,True,False,False,0.0,0.0,False,True,False,False,True,False,False,False,False,False,False,0.7894736842105263,3.473684210526316,0.3157894736842105,0.6842105263157895,0.3157894736842105,0.0,0.0,0.0,0.0,0.13157894736842105,0.0,0.02631578947368421,0.07894736842105263,0.0,0.05263157894736842,0.0,0.0,0.02631578947368421,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.02631578947368421,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.02631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.07894736842105263,0.05263157894736842,0.0,0.0,0.0,0.0
2,33,False,False,False,True,True,6.5,13.0,True,False,False,False,True,False,False,False,False,True,False,0.8484848484848485,2.8181818181818183,0.3333333333333333,0.696969696969697,0.3333333333333333,0.0,0.0,0.0,0.0,0.09090909090909091,0.030303030303030304,0.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.0,0.06060606060606061,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.09090909090909091,0.0,0.030303030303030304,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.030303030303030304
2,26,False,False,False,True,False,2.0,4.0,False,False,False,False,False,False,False,False,False,True,False,0.9230769230769231,3.230769230769231,0.3076923076923077,0.6538461538461539,0.3076923076923077,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.11538461538461539,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0,0.0
1,9,False,False,False,False,False,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False,1.0,3.2222222222222223,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
1,11,False,False,False,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,1.0,3.909090909090909,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,46,False,False,True,False,False,4.784233364802441,10.0,False,False,False,False,False,False,False,False,False,False,False,0.6956521739130435,3.0217391304347827,0.21739130434782608,0.5217391304347826,0.21739130434782608,0.0,0.0,0.0,0.0,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.10869565217391304,0.0,0.0,0.043478260869565216,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.0,0.021739130434782608,0.021739130434782608,0.0,0.043478260869565216,0.0,0.06521739130434782,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.10869565217391304,0.10869565217391304,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.0,0.0,0.0
