v1 sentences per paragraph,v2 words per paragraph,v3 close parenthesis present,v4 dash present,v5 semi-colon or colon present,v6 question mark present,v7 apostrophe present,v8 standard deviation of sentence length,v9 length difference for consecutive sentences,v10 sentence with < 11 words,v11 sentence with > 34 words,v12 contains 'although',v13 contains 'however',v14 contains 'but',v15 contains 'because',v16 contains 'this',v17 contains 'others' or 'researchers',v18 contains numbers,v19 contains 2 times more capitals than period,v20 contains 'et',word variation,average word length,non alphabetic characters frequency,uncommon word frequency,non-alphabetic characters frequency,numeric value frequency,#,$,'',(,),",",.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,JJ_pp,JJ_presp,LS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``
685,685,True,True,True,False,False,10.223506622251623,12.527777777777779,True,True,False,False,False,False,True,False,True,False,True,0.3897810218978102,4.351824817518248,0.24379562043795622,0.6759124087591241,0.24379562043795622,0.0,0.0,0.0,0.0,0.021897810218978103,0.021897810218978103,0.01897810218978102,0.05401459854014599,0.00145985401459854,0.026277372262773723,0.02335766423357664,0.08759124087591241,0.00291970802919708,0.004379562043795621,0.11094890510948906,0.09343065693430656,0.00145985401459854,0.00145985401459854,0.0,0.0,0.0,0.00291970802919708,0.1781021897810219,0.03795620437956204,0.0,0.06423357664233577,0.0,0.0,0.017518248175182483,0.00291970802919708,0.029197080291970802,0.0,0.0,0.0,0.0,0.035036496350364967,0.0,0.033576642335766425,0.008759124087591242,0.026277372262773723,0.02335766423357664,0.030656934306569343,0.01897810218978102,0.01167883211678832,0.0,0.0,0.008759124087591242,0.0
931,931,True,True,True,False,False,9.626857159640023,10.333333333333334,True,True,False,True,False,False,True,False,True,True,True,0.38882921589688507,4.833512352309345,0.2158968850698174,0.6788399570354458,0.2158968850698174,0.0,0.0,0.0,0.0,0.017185821697099892,0.017185821697099892,0.05907626208378088,0.03329752953813104,0.0021482277121374865,0.03007518796992481,0.013963480128893663,0.07841031149301826,0.0,0.0021482277121374865,0.10526315789473684,0.07626208378088077,0.00644468313641246,0.0010741138560687433,0.0,0.0,0.0,0.00644468313641246,0.16648764769065522,0.06981740064446831,0.0,0.05370569280343716,0.0,0.0,0.01933404940923738,0.01933404940923738,0.04833512352309345,0.0053705692803437165,0.0,0.0,0.0,0.0322234156820623,0.0,0.02900107411385607,0.00644468313641246,0.021482277121374866,0.017185821697099892,0.021482277121374866,0.022556390977443608,0.008592910848549946,0.0010741138560687433,0.0,0.008592910848549946,0.0
213,213,True,True,False,False,False,7.088363560031587,7.666666666666667,False,True,False,False,True,False,False,False,True,True,True,0.596244131455399,4.666666666666667,0.22535211267605634,0.704225352112676,0.22535211267605634,0.0,0.0,0.0,0.0,0.009389671361502348,0.009389671361502348,0.06103286384976526,0.03286384976525822,0.0,0.023474178403755867,0.014084507042253521,0.09389671361502347,0.0,0.0,0.09859154929577464,0.10328638497652583,0.004694835680751174,0.0,0.0,0.0,0.0,0.009389671361502348,0.23943661971830985,0.056338028169014086,0.0,0.046948356807511735,0.0,0.0,0.014084507042253521,0.0,0.056338028169014086,0.0,0.0,0.004694835680751174,0.0,0.03286384976525822,0.0,0.028169014084507043,0.0,0.009389671361502348,0.018779342723004695,0.0,0.03286384976525822,0.0,0.0,0.0,0.0,0.0
1201,1201,True,True,True,False,True,7.225957270763751,7.533333333333333,True,True,False,True,False,True,True,True,True,False,True,0.33388842631140714,4.7601998334721065,0.11740216486261448,0.6369691923397169,0.11740216486261448,0.0,0.0,0.0,0.0,0.0016652789342214821,0.0016652789342214821,0.03746877601998335,0.0507910074937552,0.002497918401332223,0.017485428809325562,0.005828476269775187,0.10241465445462115,0.0,0.0,0.11906744379683597,0.07993338884263114,0.0,0.004163197335553705,0.0008326394671107411,0.0016652789342214821,0.0,0.014154870940882597,0.16569525395503748,0.030807660283097418,0.0,0.07160699417152373,0.0,0.0033305578684429643,0.02414654454621149,0.018318068276436304,0.03330557868442964,0.0033305578684429643,0.002497918401332223,0.004163197335553705,0.0,0.03663613655287261,0.0,0.051623646960865945,0.0033305578684429643,0.02497918401332223,0.030807660283097418,0.025811823480432972,0.02414654454621149,0.004163197335553705,0.0008326394671107411,0.0,0.0008326394671107411,0.0
1266,1266,True,True,True,False,False,7.925762318751007,6.148936170212766,True,True,False,True,False,False,True,False,True,True,True,0.2567140600315956,5.3823064770932065,0.1358609794628752,0.7164296998420221,0.1358609794628752,0.0,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.04660347551342812,0.037914691943127965,0.0007898894154818325,0.030805687203791468,0.007898894154818325,0.07424960505529225,0.0,0.002369668246445498,0.08767772511848342,0.11690363349131122,0.00315955766192733,0.0007898894154818325,0.0,0.0,0.0,0.0039494470774091624,0.1848341232227488,0.05292259083728278,0.0,0.06872037914691943,0.0,0.0,0.0071090047393364926,0.017377567140600316,0.03238546603475513,0.0007898894154818325,0.0007898894154818325,0.001579778830963665,0.0,0.045023696682464455,0.0,0.0315955766192733,0.004739336492890996,0.0315955766192733,0.044233807266982623,0.010268562401263823,0.035545023696682464,0.005529225908372828,0.0,0.0,0.002369668246445498,0.0
415,415,True,True,False,False,False,7.227877595316067,10.0,False,True,False,False,True,True,True,False,True,True,False,0.4939759036144578,4.633734939759036,0.13493975903614458,0.636144578313253,0.13493975903614458,0.0,0.0,0.0,0.0,0.00963855421686747,0.00963855421686747,0.05783132530120482,0.04096385542168675,0.0,0.03614457831325301,0.004819277108433735,0.1180722891566265,0.0,0.0,0.10602409638554217,0.12048192771084337,0.0024096385542168677,0.007228915662650603,0.0,0.0,0.0,0.021686746987951807,0.1614457831325301,0.02650602409638554,0.0,0.09156626506024096,0.0024096385542168677,0.0,0.0024096385542168677,0.0024096385542168677,0.04096385542168675,0.0,0.0,0.0,0.0,0.01927710843373494,0.0,0.033734939759036145,0.012048192771084338,0.021686746987951807,0.01927710843373494,0.007228915662650603,0.016867469879518072,0.004819277108433735,0.0,0.0,0.0024096385542168677,0.0
938,938,True,True,False,False,False,18.477476636628253,15.558823529411764,True,True,False,False,True,False,True,False,True,True,True,0.42963752665245203,4.997867803837953,0.2484008528784648,0.7228144989339019,0.2484008528784648,0.0,0.0,0.0,0.0,0.026652452025586353,0.026652452025586353,0.05650319829424307,0.03731343283582089,0.0,0.04584221748400853,0.026652452025586353,0.08635394456289978,0.0,0.0021321961620469083,0.09168443496801706,0.08635394456289978,0.0042643923240938165,0.0010660980810234541,0.0,0.0,0.0,0.006396588486140725,0.20042643923240938,0.06183368869936034,0.0010660980810234541,0.05863539445628998,0.0,0.0,0.010660980810234541,0.005330490405117271,0.017057569296375266,0.0010660980810234541,0.0010660980810234541,0.0,0.0,0.0255863539445629,0.0,0.03411513859275053,0.005330490405117271,0.014925373134328358,0.02025586353944563,0.010660980810234541,0.028784648187633263,0.0031982942430703624,0.0010660980810234541,0.0,0.0010660980810234541,0.0
865,865,True,True,True,False,False,13.162299782063666,14.5,True,True,False,False,True,False,True,False,True,True,True,0.4485549132947977,4.6080924855491325,0.25317919075144507,0.6786127167630058,0.25317919075144507,0.0,0.0,0.0,0.0,0.016184971098265895,0.016184971098265895,0.048554913294797684,0.03352601156069364,0.003468208092485549,0.03468208092485549,0.021965317919075144,0.08901734104046242,0.003468208092485549,0.003468208092485549,0.1283236994219653,0.12716763005780346,0.004624277456647399,0.0023121387283236996,0.0,0.0,0.0,0.0011560693641618498,0.15838150289017341,0.03815028901734104,0.0,0.08554913294797688,0.0011560693641618498,0.0,0.013872832369942197,0.003468208092485549,0.03352601156069364,0.006936416184971098,0.0011560693641618498,0.0,0.0,0.017341040462427744,0.0,0.010404624277456647,0.011560693641618497,0.006936416184971098,0.025433526011560695,0.018497109826589597,0.023121387283236993,0.008092485549132947,0.0,0.0,0.0023121387283236996,0.0
1255,1255,True,True,True,False,False,13.074187355243154,17.82051282051282,True,True,False,True,False,True,True,False,True,True,True,0.26294820717131473,4.787250996015937,0.2804780876494024,0.7410358565737052,0.2804780876494024,0.0,0.0,0.0,0.0,0.010358565737051793,0.010358565737051793,0.07091633466135458,0.03187250996015936,0.005577689243027889,0.015139442231075698,0.027091633466135457,0.0804780876494024,0.0031872509960159364,0.011155378486055778,0.10119521912350597,0.09800796812749003,0.00398406374501992,0.0,0.0,0.0,0.0,0.002390438247011952,0.15776892430278885,0.0701195219123506,0.0,0.09083665338645418,0.0,0.0,0.013545816733067729,0.004780876494023904,0.031075697211155377,0.0015936254980079682,0.0007968127490039841,0.0,0.0,0.023107569721115537,0.0,0.02151394422310757,0.0015936254980079682,0.012749003984063745,0.02549800796812749,0.03187250996015936,0.02948207171314741,0.005577689243027889,0.0,0.0,0.006374501992031873,0.0
232,232,True,True,False,False,False,9.686936290379819,10.666666666666666,False,True,False,False,False,False,True,True,True,True,False,0.6077586206896551,4.866379310344827,0.2801724137931034,0.7112068965517241,0.2801724137931034,0.0,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.05172413793103448,0.03017241379310345,0.0,0.03879310344827586,0.03017241379310345,0.10344827586206896,0.0,0.0,0.1206896551724138,0.07327586206896551,0.0,0.0,0.0,0.004310344827586207,0.0,0.004310344827586207,0.10775862068965517,0.17672413793103448,0.004310344827586207,0.06465517241379311,0.0,0.0,0.0,0.0,0.02586206896551724,0.004310344827586207,0.0,0.0,0.0,0.004310344827586207,0.0,0.008620689655172414,0.021551724137931036,0.017241379310344827,0.021551724137931036,0.004310344827586207,0.008620689655172414,0.0,0.0,0.0,0.004310344827586207,0.0
