v1 sentences per paragraph,v2 words per paragraph,v3 close parenthesis present,v4 dash present,v5 semi-colon or colon present,v6 question mark present,v7 apostrophe present,v8 standard deviation of sentence length,v9 length difference for consecutive sentences,v10 sentence with < 11 words,v11 sentence with > 34 words,v12 contains 'although',v13 contains 'however',v14 contains 'but',v15 contains 'because',v16 contains 'this',v17 contains 'others' or 'researchers',v18 contains numbers,v19 contains 2 times more capitals than period,v20 contains 'et',word variation,average word length,non alphabetic characters frequency,uncommon word frequency,non-alphabetic characters frequency,numeric value frequency,#,$,'',(,),",",.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,JJ_exp,JJ_lim,JJ_pp,JJ_presp,LS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``
685,685,True,True,True,False,False,10.223506622251623,12.527777777777779,True,True,False,False,False,False,True,False,True,False,True,0.3897810218978102,4.351824817518248,0.24379562043795622,0.6759124087591241,0.24379562043795622,0.0,0.0,0.0,0.0,0.021897810218978103,0.021897810218978103,0.01897810218978102,0.05401459854014599,0.00145985401459854,0.026277372262773723,0.02335766423357664,0.08759124087591241,0.00291970802919708,0.004379562043795621,0.11094890510948906,0.09343065693430656,0.00145985401459854,0.00145985401459854,0.0,0.0,0.0,0.0,0.0,0.00291970802919708,0.1781021897810219,0.03795620437956204,0.0,0.06423357664233577,0.0,0.0,0.017518248175182483,0.00291970802919708,0.029197080291970802,0.0,0.0,0.0,0.0,0.035036496350364967,0.0,0.033576642335766425,0.008759124087591242,0.026277372262773723,0.02335766423357664,0.030656934306569343,0.01897810218978102,0.01167883211678832,0.0,0.0,0.008759124087591242,0.0
931,931,True,True,True,False,False,9.626857159640023,10.333333333333334,True,True,False,True,False,False,True,False,True,True,True,0.38882921589688507,4.833512352309345,0.2158968850698174,0.6788399570354458,0.2158968850698174,0.0,0.0,0.0,0.0,0.017185821697099892,0.017185821697099892,0.05907626208378088,0.03329752953813104,0.0021482277121374865,0.03007518796992481,0.013963480128893663,0.07841031149301826,0.0,0.0021482277121374865,0.10526315789473684,0.07518796992481203,0.00644468313641246,0.0010741138560687433,0.0,0.0010741138560687433,0.0,0.0,0.0,0.00644468313641246,0.16648764769065522,0.06981740064446831,0.0,0.05370569280343716,0.0,0.0,0.01933404940923738,0.01933404940923738,0.04833512352309345,0.0053705692803437165,0.0,0.0,0.0,0.0322234156820623,0.0,0.02900107411385607,0.00644468313641246,0.021482277121374866,0.017185821697099892,0.021482277121374866,0.022556390977443608,0.008592910848549946,0.0010741138560687433,0.0,0.008592910848549946,0.0
213,213,True,True,False,False,False,7.088363560031587,7.666666666666667,False,True,False,False,True,False,False,False,True,True,True,0.596244131455399,4.666666666666667,0.22535211267605634,0.704225352112676,0.22535211267605634,0.0,0.0,0.0,0.0,0.009389671361502348,0.009389671361502348,0.06103286384976526,0.03286384976525822,0.0,0.023474178403755867,0.014084507042253521,0.09389671361502347,0.0,0.0,0.09859154929577464,0.09859154929577464,0.004694835680751174,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.009389671361502348,0.23943661971830985,0.056338028169014086,0.0,0.046948356807511735,0.0,0.0,0.014084507042253521,0.0,0.056338028169014086,0.0,0.0,0.004694835680751174,0.0,0.03286384976525822,0.0,0.028169014084507043,0.0,0.009389671361502348,0.018779342723004695,0.0,0.03286384976525822,0.0,0.0,0.0,0.0,0.0
1202,1202,True,True,True,False,True,7.2436388425849865,7.566666666666666,True,True,False,True,False,True,True,True,True,False,True,0.33444259567387685,4.752079866888519,0.11564059900166389,0.6364392678868552,0.11564059900166389,0.0,0.0,0.0,0.0,0.0016638935108153079,0.0016638935108153079,0.03743760399334443,0.050748752079866885,0.0024958402662229617,0.01747088186356073,0.005823627287853577,0.10232945091514144,0.0,0.0008319467554076539,0.11896838602329451,0.07903494176372712,0.0,0.004159733777038269,0.0016638935108153079,0.0,0.0008319467554076539,0.0016638935108153079,0.0,0.014143094841930116,0.16472545757071547,0.030782029950083195,0.0,0.07154742096505824,0.0,0.0033277870216306157,0.024126455906821963,0.018302828618968387,0.033277870216306155,0.0033277870216306157,0.0024958402662229617,0.004159733777038269,0.0,0.036605657237936774,0.0,0.051580698835274545,0.0033277870216306157,0.024958402662229616,0.030782029950083195,0.025790349417637273,0.024126455906821963,0.004159733777038269,0.0008319467554076539,0.0,0.0008319467554076539,0.0
1268,1268,True,True,True,False,False,7.94993011849091,6.23404255319149,True,True,False,True,False,False,True,False,True,True,True,0.25709779179810727,5.3698738170347005,0.13406940063091483,0.7160883280757098,0.13406940063091483,0.0,0.0,0.0,0.0,0.00473186119873817,0.00473186119873817,0.04652996845425868,0.03785488958990536,0.0007886435331230284,0.030757097791798107,0.007886435331230283,0.07413249211356467,0.0,0.002365930599369085,0.08753943217665615,0.10252365930599369,0.0031545741324921135,0.0007886435331230284,0.0,0.014195583596214511,0.0,0.0,0.0,0.003943217665615142,0.18533123028391169,0.05362776025236593,0.0,0.06861198738170347,0.0,0.0,0.007097791798107256,0.017350157728706624,0.032334384858044164,0.0007886435331230284,0.0007886435331230284,0.0015772870662460567,0.0,0.044952681388012616,0.0,0.031545741324921134,0.00473186119873817,0.031545741324921134,0.04416403785488959,0.01025236593059937,0.03548895899053628,0.005520504731861199,0.0,0.0,0.002365930599369085,0.0
415,415,True,True,False,False,False,7.227877595316067,10.0,False,True,False,False,True,True,True,False,True,True,False,0.4939759036144578,4.633734939759036,0.13493975903614458,0.636144578313253,0.13493975903614458,0.0,0.0,0.0,0.0,0.00963855421686747,0.00963855421686747,0.05783132530120482,0.04096385542168675,0.0,0.03614457831325301,0.004819277108433735,0.1180722891566265,0.0,0.0,0.10602409638554217,0.12048192771084337,0.0024096385542168677,0.007228915662650603,0.0,0.0,0.0,0.0,0.0,0.021686746987951807,0.1614457831325301,0.02650602409638554,0.0,0.09156626506024096,0.0024096385542168677,0.0,0.0024096385542168677,0.0024096385542168677,0.04096385542168675,0.0,0.0,0.0,0.0,0.01927710843373494,0.0,0.033734939759036145,0.012048192771084338,0.021686746987951807,0.01927710843373494,0.007228915662650603,0.016867469879518072,0.004819277108433735,0.0,0.0,0.0024096385542168677,0.0
938,938,True,True,False,False,False,18.477476636628253,15.558823529411764,True,True,False,False,True,False,True,False,True,True,True,0.42963752665245203,4.997867803837953,0.2484008528784648,0.7228144989339019,0.2484008528784648,0.0,0.0,0.0,0.0,0.026652452025586353,0.026652452025586353,0.05650319829424307,0.03731343283582089,0.0,0.04584221748400853,0.026652452025586353,0.08635394456289978,0.0,0.0021321961620469083,0.09168443496801706,0.08635394456289978,0.0042643923240938165,0.0010660980810234541,0.0,0.0,0.0,0.0,0.0,0.006396588486140725,0.20042643923240938,0.06183368869936034,0.0010660980810234541,0.05863539445628998,0.0,0.0,0.010660980810234541,0.005330490405117271,0.017057569296375266,0.0010660980810234541,0.0010660980810234541,0.0,0.0,0.0255863539445629,0.0,0.03411513859275053,0.005330490405117271,0.014925373134328358,0.02025586353944563,0.010660980810234541,0.028784648187633263,0.0031982942430703624,0.0010660980810234541,0.0,0.0010660980810234541,0.0
865,865,True,True,True,False,False,13.162299782063666,14.5,True,True,False,False,True,False,True,False,True,True,True,0.4485549132947977,4.6080924855491325,0.25317919075144507,0.6786127167630058,0.25317919075144507,0.0,0.0,0.0,0.0,0.016184971098265895,0.016184971098265895,0.048554913294797684,0.03352601156069364,0.003468208092485549,0.03468208092485549,0.021965317919075144,0.08901734104046242,0.003468208092485549,0.003468208092485549,0.1283236994219653,0.1260115606936416,0.004624277456647399,0.0023121387283236996,0.0011560693641618498,0.0,0.0,0.0,0.0,0.0011560693641618498,0.15838150289017341,0.03815028901734104,0.0,0.08554913294797688,0.0011560693641618498,0.0,0.013872832369942197,0.003468208092485549,0.03352601156069364,0.006936416184971098,0.0011560693641618498,0.0,0.0,0.017341040462427744,0.0,0.010404624277456647,0.011560693641618497,0.006936416184971098,0.025433526011560695,0.018497109826589597,0.023121387283236993,0.008092485549132947,0.0,0.0,0.0023121387283236996,0.0
1259,1259,True,True,True,False,False,13.086228448258115,17.974358974358974,True,True,False,True,False,True,True,False,True,True,True,0.2637013502779984,4.764098490865766,0.2764098490865767,0.7418586179507546,0.2764098490865767,0.0,0.0,0.0,0.0,0.010325655281969817,0.010325655281969817,0.07069102462271644,0.03177124702144559,0.005559968228752979,0.015091342335186657,0.027005559968228753,0.08022239872915012,0.003177124702144559,0.011119936457505957,0.10087370929308975,0.0976965845909452,0.003971405877680699,0.0,0.0,0.0,0.0,0.0,0.0,0.0023828435266084196,0.1572676727561557,0.07148530579825259,0.0,0.09054805401111994,0.0,0.0,0.013502779984114376,0.004765687053216839,0.030976965845909452,0.0015885623510722795,0.0007942811755361397,0.0,0.0,0.023034154090548053,0.0,0.021445591739475776,0.0015885623510722795,0.012708498808578236,0.025416997617156472,0.03177124702144559,0.030976965845909452,0.005559968228752979,0.0,0.0,0.006354249404289118,0.0
232,232,True,True,False,False,False,9.686936290379819,10.666666666666666,False,True,False,False,False,False,True,True,True,True,False,0.6077586206896551,4.844827586206897,0.27155172413793105,0.7112068965517241,0.27155172413793105,0.0,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.05172413793103448,0.03017241379310345,0.0,0.03879310344827586,0.03017241379310345,0.10344827586206896,0.0,0.0,0.1206896551724138,0.07327586206896551,0.0,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.004310344827586207,0.10775862068965517,0.17672413793103448,0.004310344827586207,0.06465517241379311,0.0,0.0,0.0,0.0,0.02586206896551724,0.004310344827586207,0.0,0.0,0.0,0.004310344827586207,0.0,0.008620689655172414,0.021551724137931036,0.017241379310344827,0.021551724137931036,0.004310344827586207,0.008620689655172414,0.0,0.0,0.0,0.004310344827586207,0.0
